AFGHANISTAN,A01
ALBANIA,A02
ALGERIA,A03
ANGOLA,A05
ANGUILLA,A06
ANTIGUA,A07
ARGENTINA,A08
AUSTRALIA,A09
AUSTRIA,A10
ARMENIA,A12
AZERBAIJAN,A13
BAHAMAS,B01
BAHRAIN,B02
BANGLADESH,B03
BARBADOS,B04
BELGIUM,B05
BERMUDA,B06
BHUTAN,B07
BOLIVIA,B08
BOTSWANA,B09
BRAZIL,B10
BRUNEI,B11
BULGARIA,B12
BURUNDI,B14
BENIN,B15
BELARUS,B16
BELIZE,B17
BOSNIA AND HERZEGOVINA,B18
BULKINA FASO,B19
CAMEROON,C01
CANADA,C02
CHAD,C03
CHILE,C04
CHINA P.R,C05
COLOMBIA,C06
CONGO,C07
COSTA RICA,C08
CUBA,C09
CYPRUS,C10
CZECH,C11
CROATIA,C12
CAMBODIA,C14
COMOROS,C15
CHECHNYA,C16
CENTRAL AFRICAN REPUBLIC,C17
CAPE VERDE,C18
COOK ISLANDS,C19
CASTRIES,C20
CURACAO,C21
DAHOMEY,D01
DENMARK,D02
DOMINICA,D03
DJIBOUTI,D04
ECUADOR,E01
EGYPT,E02
EL SALVADOR,E03
ETHIOPIA,E04
ERITREA,E05
ESTONIA,E06
EAST TIMOR,E07
FIJI,F01
FINLAND,F02
FRANCE,F03
FRENCH POLYNESIA,F04
GABON,G01
GUAM,G02
GERMANY,G03
GHANA,G04
GIBRALTAR,G05
GREECE,G06
GRENADA,G07
GUATEMALA,G08
GUINEA,G09
GUYANA,G10
GAMBIA,G11
GEORGIA,G12
"GERMANY, DEMOCRATIC REP. OF",G13
GUINEA BISSAU,G14
GUADELOUPE,G15
HAITI,H01
HONDURAS,H03
HONG KONG,H04
HUNGARY,H05
ICELAND,I01
INDIA,I02
INDONESIA,I03
IRAN,I04
IRAQ,I05
IRELAND REP.,I06
ISRAEL,I07
ITALY,I08
COTE D'IVOIRE,I09
JAMAICA,J01
JAPAN,J02
JORDAN,J03
KENYA,K02
NORTH KOREA,K04
SOUTH KOREA,K05
KUWAIT,K06
KAZAKHSTAN,K08
KYRGYZSTAN,K09
KIRIBATI,K10
KIRIBATI,K45
LAOS,L01
LEBANON,L02
LESOTHO,L03
LIBERIA,L04
LIBYA,L05
LIECHTENSTEIN,L06
LUXEMBOURG,L07
LATVIA,L08
LITHUANIA,L09
MALAWI,M02
MALAYSIA,M03
MALI,M04
MALTA,M05
MAURITANIA,M06
MAURITIUS,M07
MEXICO,M08
MONACO,M09
MONGOLIA,M10
MONTSERRAT,M11
MOROCCO,M12
MOZAMBIQUE,M13
MALDIVES,M14
MADAGASCAR,M15
MOLDOVA,M16
MYANMAR,M17
MUSCAT,M18
MACAU,M19
MACEDONIA,M20
MAYOTTE,M21
MARSHALL ISLAND,M22
MICRONESIA FEDERATION,M23
MONTENEGRO,M24
NAURU,N01
NEPAL,N02
NETHERLANDS,N03
NEW ZEALAND,N04
NICARAGUA,N05
NIGER,N06
NIGERIA,N07
NORWAY,N08
NAMIBIA,N09
NEW CALEDONIA,N10
NETHERLANDS ANTILLES,N11
NORTHERN MARIANA ISLANDS,N12
OMAN,O01
PAKISTAN,P01
PANAMA,P02
PAPUA N GUINEA,P03
PARAGUAY,P04
PERU,P05
PHILIPPINES,P06
POLAND,P07
PORTUGAL,P08
PACIFIC ISLAND,P09
PUERTO RICO,P10
PALESTINE,P11
PALAU,P12
QATAR,Q01
RHODESIA,R01
ROMANIA,R02
RWANDA,R04
REUNION,R05
RUSSIA,R06
SAMOA,S01
SAN MARINO,S02
SAUDI ARABIA,S03
SENEGAL,S04
SEYCHELLES,S05
SIERRA LEONE,S06
SINGAPORE,S07
SOMALIA,S08
SOUTH AFRICA,S09
SPAIN,S10
SRI LANKA,S11
SUDAN,S12
SWEDEN,S14
SWITZERLAND,S15
SYRIA,S16
SOLOMON ISLAND,S17
SLOVENIA,S18
"SLOVAKIA, REP.",S19
SURINAME,S20
SWAZILAND,S21
SAO TOME & PRINCIPE,S22
SERBIA AND MONTENEGRO,S23
ST. LUCIA,S24
SOUTH GEORGIA & SOUTH SANDWICH ISLAND,S25
SERBIA,S26
ST. VINCENT AND THE GRENADINES,S27
TAHITI,T01
TAIWAN,T02
TANZANIA,T03
TURKMENISTAN,T04
THAILAND,T05
TOBAGO,T06
TOGO,T07
TONGA,T08
TRINIDAD,T09
TUNISIA,T10
TURKEY,T11
TAJIKISTAN,T12
TUVALU,T13
UGANDA,U01
UNITED KINGDOM,U03
U.S.A,U04
URUGUAY,U05
U.A.E,U06
UKRAINE,U07
UZBEKISTAN,U08
VENEZUELA,V01
VIETNAM,V02
VANUATU,V03
YEMEN ARAB REP.,Y01
YUGOSLAVIA,Y02
ZAIRE,Z01
ZAMBIA,Z02
ZIMBABWE,Z03
